Sentença	Id	Index	Granularidade	Documento
Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos.	2	0	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Genérico e chato, não há nada que valha a pena assistir aqui.	2	1	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados, cada um comprovando que são capazes de atuar e agir bem.	2	2	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Não se incomode com este, vá ver New Jack City, Ricochet ou assistir New York Undercover para Ice-T, ou Boyz no Hood, Higher Learning ou Friday for Ice Cube e ver o negócio real.	2	3	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes, e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme?	2	4	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
E por que diabos ele sempre interpreta exatamente o mesmo personagem?	2	5	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Dos extraterrestres em diante, todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante, e pelo menos em Aliens seu personagem morreu, o que o tornou um pouco gratificante ...	2	6	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
No geral, esse é lixo de ação de segunda classe.	2	7	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Existem incontáveis ​​filmes melhores para ver, e se você realmente quiser ver esse filme, assista a Judgment Night, que é praticamente uma cópia carbono, mas tem melhor atuação e um roteiro melhor.	2	8	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante, o que chega perto de compensar o horrível filme em si - mas não é bem assim.	2	9	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
4/10	2	10	0	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
1	2	-1	1	Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos . Genérico e chato , não há nada que valha a pena assistir aqui . Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados , cada um comprovando que são capazes de atuar e agir bem . Não se incomode com este , vá ver New Jack City , Ricochet ou assistir New York Undercover para Ice-T , ou Boyz no Hood , Higher Learning ou Friday for Ice Cube e ver o negócio real . Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes , e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme ? E por que diabos ele sempre interpreta exatamente o mesmo personagem ? Dos extraterrestres em diante , todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante , e pelo menos em Aliens seu personagem morreu , o que o tornou um pouco gratificante ... No geral , esse é lixo de ação de segunda classe . Existem incontáveis ​​filmes melhores para ver , e se você realmente quiser ver esse filme , assista a Judgment Night , que é praticamente uma cópia carbono , mas tem melhor atuação e um roteiro melhor . A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante , o que chega perto de compensar o horrível filme em si - mas não é bem assim . 4/10
Primeiro de tudo eu odeio esses raps imbecis, que não poderiam agir se tivessem uma arma pressionada contra suas testas.	3	0	0	"Primeiro de tudo eu odeio esses raps imbecis , que não poderiam agir se tivessem uma arma pressionada contra suas testas . Tudo o que eles fazem é amaldiçoar e atirar um no outro e agir como uma versão clichê de gangsters . O filme não leva mais de cinco minutos para explicar o que está acontecendo antes que já estivessem no armazém . Não há um único personagem simpático nesse filme , com exceção do sem-teto , que também é o único com metade do cérebro . William Paxton e William Sadler são ambos "" hill billies "" e Sadler é tão vilão quanto os gângsteres . Eu não gostava dele desde o começo . O filme está cheio de violência sem sentido e especialidade de Walter Hills : pessoas caindo de janelas com vidros voando por toda parte . Não há praticamente nenhum enredo e é um grande problema quando você torce por ninguém . Todo mundo morre , exceto Paxton e o sem-teto e todos recebem o que merecem . Os dois únicos negros que podem atuar são o sem-teto e o viciado , mas são atores de profissão , não irritantes rappers feios . Fique longe dessa porcaria . e observe 48 horas 1 e 2 em vez disso . No mínimo , eles têm personagens de que você gosta , senso de humor e nada além de atores reais no elenco ."
Tudo o que eles fazem é amaldiçoar e atirar um no outro e agir como uma versão clichê de gangsters.	3	1	0	"Primeiro de tudo eu odeio esses raps imbecis , que não poderiam agir se tivessem uma arma pressionada contra suas testas . Tudo o que eles fazem é amaldiçoar e atirar um no outro e agir como uma versão clichê de gangsters . O filme não leva mais de cinco minutos para explicar o que está acontecendo antes que já estivessem no armazém . Não há um único personagem simpático nesse filme , com exceção do sem-teto , que também é o único com metade do cérebro . William Paxton e William Sadler são ambos "" hill billies "" e Sadler é tão vilão quanto os gângsteres . Eu não gostava dele desde o começo . O filme está cheio de violência sem sentido e especialidade de Walter Hills : pessoas caindo de janelas com vidros voando por toda parte . Não há praticamente nenhum enredo e é um grande problema quando você torce por ninguém . Todo mundo morre , exceto Paxton e o sem-teto e todos recebem o que merecem . Os dois únicos negros que podem atuar são o sem-teto e o viciado , mas são atores de profissão , não irritantes rappers feios . Fique longe dessa porcaria . e observe 48 horas 1 e 2 em vez disso . No mínimo , eles têm personagens de que você gosta , senso de humor e nada além de atores reais no elenco ."
O filme não leva mais de cinco minutos para explicar o que está acontecendo antes que já estivessem no armazém.	3	2	0	"Primeiro de tudo eu odeio esses raps imbecis , que não poderiam agir se tivessem uma arma pressionada contra suas testas . Tudo o que eles fazem é amaldiçoar e atirar um no outro e agir como uma versão clichê de gangsters . O filme não leva mais de cinco minutos para explicar o que está acontecendo antes que já estivessem no armazém . Não há um único personagem simpático nesse filme , com exceção do sem-teto , que também é o único com metade do cérebro . William Paxton e William Sadler são ambos "" hill billies "" e Sadler é tão vilão quanto os gângsteres . Eu não gostava dele desde o começo . O filme está cheio de violência sem sentido e especialidade de Walter Hills : pessoas caindo de janelas com vidros voando por toda parte . Não há praticamente nenhum enredo e é um grande problema quando você torce por ninguém . Todo mundo morre , exceto Paxton e o sem-teto e todos recebem o que merecem . Os dois únicos negros que podem atuar são o sem-teto e o viciado , mas são atores de profissão , não irritantes rappers feios . Fique longe dessa porcaria . e observe 48 horas 1 e 2 em vez disso . No mínimo , eles têm personagens de que você gosta , senso de humor e nada além de atores reais no elenco ."
